,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Vredendal,0,ZA,1579327556,72,-31.67,18.5,293.08,1.49
1,Glace Bay,75,CA,1579327556,72,46.2,-59.96,264.82,13.9
2,Kieta,45,PG,1579327556,64,-6.22,155.63,302.59,1.15
3,Kawalu,34,ID,1579327556,54,-7.38,108.21,303.48,1.94
4,Mar del Plata,0,AR,1579327556,72,-38.0,-57.56,290.37,4.1
5,Azle,90,US,1579327556,100,32.9,-97.55,291.15,3.6
6,Cape Town,20,ZA,1579327556,68,-33.93,18.42,295.37,8.7
7,Puerto Colombia,24,CO,1579327556,39,10.99,-74.95,299.15,6.2
8,Kokoda,99,PG,1579327556,72,-8.88,147.74,295.26,2.6
9,Upernavik,23,GL,1579327556,67,72.79,-56.15,249.18,2.66
10,Saint George,1,US,1579327556,74,37.1,-113.58,277.04,1.5
11,Uarini,42,BR,1579327556,94,-2.99,-65.11,296.83,0.41
12,Hilo,90,US,1579327556,69,19.73,-155.09,297.15,3.6
13,Kodiak,90,US,1579327556,74,57.79,-152.41,274.15,9.8
14,Kapaa,90,US,1579327556,64,22.08,-159.32,295.15,8.7
15,Chokurdakh,75,RU,1579327556,91,70.63,147.92,242.99,1.29
16,Albany,75,US,1579327556,55,42.6,-73.97,262.59,2.1
17,Korla,0,CN,1579327556,92,41.76,86.15,270.37,4.02
18,Knysna,90,ZA,1579327556,100,-34.04,23.05,289.15,4.6
19,New Norfolk,20,AU,1579327556,42,-42.78,147.06,291.15,6.2
20,Broome,1,US,1579327556,100,42.25,-75.83,262.59,0.81
21,Rikitea,0,PF,1579327556,81,-23.12,-134.97,298.84,7.88
22,Hobart,20,AU,1579327473,42,-42.88,147.33,291.15,6.2
23,Vaini,100,TO,1579327557,94,-21.2,-175.2,299.9,10.74
24,Saldanha,9,ZA,1579327557,72,-33.01,17.94,292.15,3.1
25,Hithadhoo,90,MV,1579327557,76,-0.6,73.08,301.48,6.53
26,Lebu,0,CL,1579327557,85,-37.62,-73.65,286.94,2.12
27,Jamestown,1,US,1579327557,78,42.1,-79.24,268.15,1.5
28,Mataura,100,NZ,1579327557,65,-46.19,168.86,294.04,3.89
29,Russell,90,US,1579327557,39,32.35,-85.2,284.82,5.1
30,Hong Kong,20,HK,1579327557,59,22.29,114.16,295.37,4.6
31,Kaduna,0,NG,1579327557,31,10.52,7.44,289.26,4.72
32,Yinchuan,100,CN,1579327557,26,38.47,106.27,274.82,1.34
33,Lancaster,1,US,1579327557,53,40.25,-76.25,268.15,1.81
34,Ilulissat,87,GL,1579327557,49,69.22,-51.1,257.15,3.6
35,Cidreira,0,BR,1579327557,61,-30.18,-50.21,294.97,6.16
36,Ushuaia,100,AR,1579327440,98,-54.8,-68.3,276.62,2.55
37,Buena Vista,90,US,1579327557,73,43.42,-83.9,269.15,6.2
38,Alice,75,US,1579327557,88,27.75,-98.07,294.26,5.1
39,San Cristobal,40,VE,1579327557,57,7.77,-72.22,300.15,2.6
40,High Rock,33,BS,1579327557,73,26.62,-78.28,294.45,12.58
41,Comodoro Rivadavia,0,AR,1579327557,77,-45.87,-67.5,289.15,0.5
42,Iqaluit,90,CA,1579327557,69,63.75,-68.51,249.26,4.1
43,Tuktoyaktuk,5,CA,1579327557,77,69.45,-133.04,254.15,6.2
44,Cecina,75,IT,1579327557,100,43.31,10.52,283.71,6.2
45,Aitape,31,PG,1579327557,81,-3.14,142.35,301.83,10.55
46,Tevriz,1,RU,1579327558,81,57.51,72.4,257.03,2.99
47,Cockburn Town,42,TC,1579327524,76,21.46,-71.14,297.69,9.67
48,Akhtubinsk,98,RU,1579327558,96,48.28,46.17,272.28,3.44
49,Dunedin,98,NZ,1579327495,63,-45.87,170.5,292.59,6.76
50,Vilhena,62,BR,1579327558,96,-12.74,-60.15,294.63,1.29
51,Port Elizabeth,90,ZA,1579327558,72,-33.92,25.57,293.15,4.1
52,Torbay,90,CA,1579327558,92,47.67,-52.73,269.26,26.23
53,Pevek,100,RU,1579327558,96,69.7,170.31,247.49,1.71
54,Minggang,36,CN,1579327558,51,32.46,114.05,281.62,0.75
55,Zhezkazgan,90,KZ,1579327493,92,47.8,67.71,267.15,4.0
56,Saskylakh,99,RU,1579327558,92,71.92,114.08,254.11,4.46
57,Ransang,10,PH,1579327558,81,8.96,117.58,300.96,6.31
58,Bluff,100,NZ,1579327558,55,-46.6,168.33,292.38,2.78
59,Nioki,100,CD,1579327558,88,-2.72,17.68,297.16,1.79
60,Longyearbyen,75,SJ,1579327558,77,78.22,15.64,258.15,2.6
61,Avera,40,US,1579327558,56,33.19,-82.53,280.15,2.6
62,Eydhafushi,38,MV,1579327558,78,5.1,73.07,301.1,8.02
63,Taggia,40,IT,1579327558,87,43.85,7.85,280.93,2.1
64,Bethel,1,US,1579327558,40,41.37,-73.41,267.04,3.6
65,Plettenberg Bay,100,ZA,1579327558,87,-34.05,23.37,290.77,8.14
66,Puerto Ayora,48,EC,1579327558,63,-0.74,-90.35,297.59,2.15
67,Airai,98,TL,1579327558,85,-8.93,125.41,297.8,1.15
68,Butte,90,US,1579327558,81,39.65,-121.57,280.15,0.42
69,Pangnirtung,96,CA,1579327558,95,66.15,-65.71,244.53,0.36
70,Giohar,95,SO,1579327558,50,2.78,45.5,299.78,10.71
71,Gigmoto,0,PH,1579327558,80,13.78,124.39,300.37,7.58
72,Cayenne,90,GF,1579327558,94,4.93,-52.33,298.15,0.5
73,Ixtapa,40,MX,1579327559,88,20.7,-105.2,296.15,1.97
74,Am Timan,0,TD,1579327559,27,11.03,20.28,292.14,2.97
75,San Quintin,49,MX,1579327559,3,30.48,-115.95,278.15,0.89
76,Faya,23,SA,1579327559,43,18.39,42.45,286.15,1.92
77,Luanda,75,AO,1579327324,78,-8.84,13.23,300.15,1.5
78,Dikson,100,RU,1579327559,98,73.51,80.55,250.47,4.46
79,Sorland,78,NO,1579327559,77,67.67,12.69,274.53,8.99
80,Storforshei,92,NO,1579327559,91,66.4,14.52,266.48,2.53
81,Busselton,0,AU,1579327361,20,-33.65,115.33,300.93,4.79
82,Karratha,45,AU,1579327559,75,-20.74,116.85,302.59,9.98
83,Punta Arenas,75,CL,1579327559,71,-53.15,-70.92,283.15,8.7
84,Brae,99,GB,1579327559,70,60.4,-1.35,280.15,12.9
85,Paamiut,98,GL,1579327559,63,61.99,-49.67,265.34,5.13
86,Mahebourg,75,MU,1579327559,79,-20.41,57.7,302.15,4.1
87,Berea,90,US,1579327559,68,41.37,-81.85,270.93,5.1
88,Port Alfred,100,ZA,1579327559,98,-33.59,26.89,292.59,6.85
89,Cherskiy,100,RU,1579327559,85,68.75,161.3,243.75,0.76
90,Conakry,0,GN,1579327304,79,9.54,-13.68,296.01,1.67
91,Kalmunai,84,LK,1579327559,79,7.42,81.82,300.63,4.91
92,San Lorenzo,11,PY,1579327559,83,-25.33,-57.53,298.15,1.5
93,Zima,100,RU,1579327559,83,53.92,102.04,262.73,2.4
94,Nikolskoye,60,RU,1579327559,85,59.7,30.79,273.71,3.0
95,Egvekinot,100,RU,1579327559,96,66.32,-179.17,255.44,3.75
96,Guardiagrele,40,IT,1579327559,80,42.2,14.22,280.37,1.5
97,Dukat,100,RU,1579327559,95,62.55,155.55,242.58,1.18
98,Guane,26,CU,1579327560,74,22.2,-84.09,296.97,10.27
99,Bandarbeyla,84,SO,1579327560,77,9.49,50.81,298.17,11.32
100,Avarua,100,CK,1579327560,94,-21.21,-159.78,300.15,4.6
101,Nanga Eboko,73,CM,1579327560,99,4.68,12.37,292.3,0.6
102,Tromso,100,NO,1579327560,78,69.65,18.96,264.15,5.1
103,Manaure,15,CO,1579327560,83,11.78,-72.44,299.04,10.28
104,Carnarvon,0,AU,1579327560,55,-24.87,113.63,303.15,9.3
105,Pangkalanbuun,81,ID,1579327560,80,-2.68,111.62,302.72,1.75
106,Atuona,100,PF,1579327560,73,-9.8,-139.03,300.87,7.78
107,Khovd,100,MN,1579327560,57,48.01,91.64,262.66,1.8
108,Sao Filipe,2,CV,1579327560,70,14.9,-24.5,294.03,6.18
109,Sola,67,VU,1579327560,71,-13.88,167.55,301.62,3.11
110,Safford,1,US,1579327560,75,32.83,-109.71,281.15,2.6
111,Barrow,1,US,1579327560,71,71.29,-156.79,257.15,2.6
112,Zhob,0,PK,1579327560,33,31.34,69.45,274.83,1.55
113,Mayumba,100,GA,1579327560,78,-3.43,10.66,300.47,4.49
114,Coolum Beach,39,AU,1579327560,88,-26.53,153.1,298.71,2.58
115,Asekeyevo,86,RU,1579327561,96,53.57,52.8,267.51,2.0
116,Thompson,75,CA,1579327561,69,55.74,-97.86,251.15,4.6
117,Djibouti,1,DJ,1579327561,68,11.5,42.5,295.15,6.39
118,Mangrol,0,IN,1579327561,49,21.12,70.12,293.28,6.27
119,Tiksi,99,RU,1579327561,84,71.69,128.87,249.93,5.68
120,Kruisfontein,100,ZA,1579327561,85,-34.0,24.73,289.65,4.41
121,Leningradskiy,98,RU,1579327561,100,69.38,178.42,250.39,2.28
122,Lodja,100,CD,1579327561,97,-3.48,23.43,295.04,1.37
123,Half Moon Bay,1,US,1579327561,81,37.46,-122.43,282.15,1.5
124,Road Town,20,VG,1579327561,69,18.42,-64.62,298.15,5.1
