,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,jardim,72,BR,1577773819,72,-21.48,-56.15,297.83,0.96
1,carnarvon,0,ZA,1577773819,55,-30.97,22.13,294.5,5.48
2,lorengau,48,PG,1577773820,70,-2.02,147.27,302.52,3.11
3,pangnirtung,100,CA,1577773820,98,66.15,-65.72,243.61,1.67
4,punta arenas,95,CL,1577773820,86,-53.16,-70.91,278.15,3.1
5,kapaa,75,US,1577773744,73,22.08,-159.32,298.15,7.7
6,qaanaaq,98,GL,1577773821,90,77.48,-69.36,235.23,1.62
7,chokurdakh,45,RU,1577773821,80,70.62,147.9,240.07,1.52
8,bestobe,77,KZ,1577773822,90,52.5,73.1,253.93,6.53
9,quatre cocos,75,MU,1577773822,78,-20.21,57.76,301.15,6.2
10,rikitea,100,PF,1577773822,85,-23.12,-134.97,298.4,5.02
11,ushuaia,20,AR,1577773807,56,-54.81,-68.31,280.15,3.1
12,busselton,0,AU,1577773822,22,-33.64,115.35,302.59,7.59
13,bluff,0,AU,1577773822,18,-23.58,149.07,307.87,4.94
14,horki,90,BY,1577773823,94,54.29,30.98,273.15,7.0
15,kutum,84,SD,1577773823,22,14.2,24.66,287.04,2.43
16,maniitsoq,100,GL,1577773823,92,65.42,-52.9,266.8,1.75
17,torbay,90,CA,1577773823,86,47.66,-52.73,274.26,9.3
18,carutapera,100,BR,1577773824,83,-1.2,-46.02,300.13,7.27
19,homer,75,US,1577773824,70,59.64,-151.54,280.15,3.1
20,pangody,100,RU,1577773824,67,65.85,74.49,258.77,11.99
21,vaini,20,IN,1577773824,29,15.34,74.49,299.15,3.1
22,viedma,91,AR,1577773825,90,-40.81,-62.99,290.94,5.71
23,hithadhoo,7,MV,1577773825,72,-0.6,73.08,300.95,1.15
24,hermanus,0,ZA,1577773825,71,-34.42,19.24,293.71,3.13
25,cape town,20,ZA,1577773323,60,-33.93,18.42,294.15,7.7
26,langxiang,71,CN,1577773826,76,46.95,128.87,250.8,3.13
27,verkhoyansk,30,RU,1577773826,77,67.55,133.39,238.39,0.79
28,hamilton,90,CA,1577773631,86,43.26,-79.87,276.48,5.7
29,dikson,100,RU,1577773826,91,73.51,80.55,261.33,12.64
30,sabang,44,PH,1577773827,84,13.8,121.11,300.37,2.24
31,te anau,6,NZ,1577773827,51,-45.41,167.72,292.52,4.05
32,atuona,1,PF,1577773827,75,-9.8,-139.03,300.01,6.68
33,simpang,38,ID,1577773827,48,4.36,96.17,307.05,1.37
34,san lawrenz,20,MT,1577773827,66,36.06,14.2,284.15,7.2
35,cabo san lucas,5,MX,1577773745,82,22.89,-109.91,289.82,0.67
36,sorland,100,NO,1577773828,68,67.67,12.69,276.65,13.57
37,naze,90,NG,1577773828,94,5.43,7.07,294.15,0.64
38,olinda,5,AU,1577773828,37,-37.84,145.39,296.48,7.7
39,guerrero negro,10,MX,1577773828,70,27.97,-114.04,286.26,0.34
40,hasaki,40,JP,1577773829,55,35.73,140.83,290.93,7.7
41,kavieng,1,PG,1577773829,71,-2.57,150.8,302.61,4.42
42,celestun,0,MX,1577773829,86,20.87,-90.4,297.64,7.54
43,tura,100,RU,1577773830,89,64.27,100.22,248.6,3.68
44,leningradskiy,100,RU,1577773830,92,69.38,178.42,246.06,9.81
45,mataura,42,NZ,1577773830,65,-46.19,168.86,295.37,2.68
46,east london,99,ZA,1577773830,68,-33.02,27.91,294.15,1.0
47,matara,100,BI,1577773831,90,-3.48,29.48,290.27,1.05
48,isabela,32,PH,1577773831,66,10.2,122.99,299.83,5.87
49,barrow,100,AR,1577773831,95,-38.31,-60.23,291.65,2.36
50,neyshabur,0,IR,1577773727,50,36.21,58.79,279.73,2.83
51,jamestown,0,AU,1577773831,16,-33.21,138.6,299.77,6.1
52,ugoofaaru,100,MV,1577773832,78,5.67,73.0,300.45,6.0
53,sao joao da barra,0,BR,1577773832,88,-21.64,-41.05,296.54,1.88
54,hambantota,75,LK,1577773832,70,6.12,81.12,305.15,4.1
55,marzuq,89,YE,1577773832,53,14.4,46.47,294.57,0.83
56,kendari,98,ID,1577773833,77,-3.99,122.52,302.3,2.78
57,georgetown,40,GY,1577773833,94,6.8,-58.16,297.15,2.1
58,beringovskiy,0,RU,1577773833,95,63.05,179.32,246.13,6.12
59,nabannagan,16,PH,1577773833,85,18.07,121.53,298.21,3.35
60,damara,20,CF,1577773833,93,4.96,18.7,290.15,1.03
61,sitka,0,US,1577773834,80,37.17,-99.65,268.15,4.07
62,new norfolk,96,AU,1577773834,24,-42.78,147.06,295.15,8.7
63,yellowknife,90,CA,1577773815,84,62.45,-114.38,260.37,2.6
64,zonguldak,75,TR,1577773834,93,41.25,31.83,282.15,3.6
65,kruisfontein,0,ZA,1577773834,70,-34.0,24.73,291.57,1.45
