,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Dikson,1,RU,1579412416,91,73.51,80.55,244.48,2.5
1,Chui,12,UY,1579412416,90,-33.7,-53.46,291.75,3.24
2,Shimoda,75,JP,1579412416,57,34.67,138.95,284.15,3.6
3,Dodge City,1,US,1579412356,68,37.75,-100.02,272.04,2.1
4,Khatanga,100,RU,1579412416,97,71.97,102.5,242.54,1.78
5,Saint George,1,US,1579412247,44,37.1,-113.58,278.15,2.5
6,Leiria,20,PT,1579412416,76,39.74,-8.81,285.37,6.2
7,Sao Joao da Barra,12,BR,1579412416,91,-21.64,-41.05,295.27,5.08
8,Usta Muhammad,20,PK,1579412417,19,28.18,68.04,291.16,1.32
9,Lompoc,75,US,1579412163,93,34.64,-120.46,285.37,3.6
10,Kapaa,90,US,1579412358,69,22.08,-159.32,296.15,10.8
11,Marzuq,0,YE,1579412417,25,14.4,46.47,294.13,0.54
12,Port Alfred,100,ZA,1579412417,81,-33.59,26.89,293.15,1.34
13,Hasaki,40,JP,1579412417,39,35.73,140.83,284.26,1.5
14,East London,75,ZA,1579412417,72,-33.02,27.91,293.15,3.1
15,Mataura,100,NZ,1579412417,87,-46.19,168.86,287.59,3.58
16,Beloha,0,MG,1579412417,47,-25.17,45.05,303.59,1.7
17,Sochi,0,RU,1579412417,64,43.6,39.73,275.15,6.0
18,Bluff,100,NZ,1579412417,87,-46.6,168.33,287.59,3.58
19,Jamestown,90,US,1579412417,92,42.1,-79.24,274.26,8.2
20,Thompson,5,CA,1579412417,75,55.74,-97.86,247.15,1.0
21,George Town,40,MY,1579412204,59,5.41,100.34,306.15,2.6
22,Yellowknife,5,CA,1579412417,66,62.46,-114.35,239.15,2.6
23,Albany,90,US,1579412402,80,42.6,-73.97,273.15,5.7
24,Rikitea,0,PF,1579412417,80,-23.12,-134.97,298.81,5.72
25,Aklavik,5,CA,1579412417,69,68.22,-135.01,250.15,1.0
26,Ushuaia,40,AR,1579412417,93,-54.8,-68.3,281.15,2.6
27,Hithadhoo,38,MV,1579412417,77,-0.6,73.08,301.87,4.89
28,Atar,55,MR,1579412417,28,20.52,-13.05,287.67,7.72
29,Lagoa,0,PT,1579412417,90,39.05,-27.98,290.88,11.42
30,Berbera,25,SO,1579412417,69,10.44,45.01,297.37,0.6
31,Madang,75,PG,1579412417,79,-5.22,145.8,302.04,13.65
32,Champerico,2,GT,1579412417,78,14.3,-91.92,297.29,1.22
33,Hobart,75,AU,1579412406,49,-42.88,147.33,294.26,6.7
34,Lakhdenpokhya,100,RU,1579412417,94,61.52,30.2,275.93,5.12
35,Benguela,37,AO,1579412417,75,-12.58,13.41,298.61,0.04
36,Brae,50,GB,1579412417,81,60.4,-1.35,281.15,6.7
37,Busselton,3,AU,1579412418,16,-33.65,115.33,303.71,9.13
38,Bambous Virieux,75,MU,1579412418,79,-20.34,57.76,302.15,3.6
39,Ribeira Grande,63,PT,1579412418,92,38.52,-28.7,289.48,8.41
40,Punta Arenas,40,CL,1579412418,66,-53.15,-70.92,284.15,9.3
41,Cherskiy,100,RU,1579412418,98,68.75,161.3,244.09,2.73
42,Mersa Matruh,90,EG,1579412418,71,31.35,27.25,288.09,11.14
43,Larap,11,PH,1579412418,79,14.3,122.65,299.47,6.96
44,Airai,26,TL,1579412418,59,-8.93,125.41,301.07,1.72
45,Vaini,75,TO,1579412418,78,-21.2,-175.2,301.15,7.2
46,Mayo,90,US,1579412418,93,38.89,-76.51,279.26,7.2
47,Kavieng,100,PG,1579412418,76,-2.57,150.8,302.17,11.54
48,Kaitangata,100,NZ,1579412418,94,-46.28,169.85,286.48,4.47
49,Mawlaik,12,MM,1579412418,39,23.63,94.42,300.67,0.88
50,La Ronge,40,CA,1579412418,76,55.1,-105.28,249.15,1.0
51,Sitka,90,US,1579412418,59,57.05,-135.33,276.15,9.8
52,Matara,13,LK,1579412418,55,5.95,80.54,305.13,4.1
53,Tuatapere,100,NZ,1579412418,87,-46.13,167.68,287.59,3.58
54,Hilo,90,US,1579412418,78,19.73,-155.09,295.37,5.1
55,Kununurra,67,AU,1579412418,47,-15.77,128.73,308.15,3.6
56,Bredasdorp,100,ZA,1579412418,87,-34.53,20.04,288.15,3.1
57,Tiksi,100,RU,1579412418,92,71.69,128.87,253.76,3.68
58,Achutupo,82,PA,1579412418,93,9.2,-77.98,297.41,2.49
59,Port Elizabeth,75,ZA,1579412310,72,-33.92,25.57,292.15,3.6
60,Eilat,51,IL,1579412418,89,29.56,34.95,283.15,0.85
61,Kiri Buru,0,IN,1579412418,37,22.08,85.35,299.14,1.78
62,Sawang Daen Din,0,TH,1579412418,37,17.48,103.46,303.94,3.39
63,Cidreira,66,BR,1579412419,80,-30.18,-50.21,296.16,10.06
64,Bubaque,23,GW,1579412419,56,11.28,-15.83,297.71,3.26
65,Kodiak,90,US,1579412419,74,57.79,-152.41,275.15,7.7
66,Mananara,100,MG,1579412419,81,-16.17,49.77,300.52,4.95
67,Carnarvon,0,AU,1579412419,70,-24.87,113.63,302.15,7.7
68,Puerto Ayora,72,EC,1579412419,59,-0.74,-90.35,298.15,3.69
69,Yumen,19,CN,1579412419,43,40.28,97.2,270.68,7.6
70,Vila Franca do Campo,75,PT,1579412419,93,37.72,-25.43,290.15,5.7
71,Alice Springs,40,AU,1579412211,33,-23.7,133.88,305.15,2.1
72,Mancio Lima,67,BR,1579412419,98,-7.61,-72.9,295.94,0.92
73,Barrow,90,US,1579412419,85,71.29,-156.79,261.15,6.7
74,Lebu,51,CL,1579412419,92,-37.62,-73.65,284.39,2.44
